Village Pet Store And Charcoal Grill	New York	installation
Waiting in Vain	other place	spray_paint
Wall and Piece	other place	book
The Walled Off Hotel	other place	installation
Severnshed	other place	installation
Watchtower Swing	other place	spray_paint
Well, Hung Lover	other place	spray_paint
Winnie the Pooh Bear Trap	other place	spray_paint
Yellow Lines Flower Painter	London	spray_paint
Zebra Stripes	other place	spray_paint
