N3.2.1.4.4.19.3,47° 52′,1° 8′ E
N3.2.1.4.4.19.7,48° S,188° W
N3.2.1.4.4.19.11,46° 42′ S,16° 16′ E
N3.2.1.4.4.19.19,46° 31′ S,192° 49′ W
N3.2.1.4.4.20.9,47° 6′ S,16° 29′E
N3.2.1.4.4.21.5,47° 26′ S,192° 12′ W
N3.2.1.4.4.21.7,47° 19′ S,192° 12′ W
N3.2.1.4.4.23.3,47° 33′ S,192° 49′ W
N3.2.1.4.4.23.9,46° 31′ S,192° 49′ W
N3.2.1.4.4.24.5,47° 40′ S,193° 50′ W
N3.2.1.4.4.25.3,46° S
N3.2.1.4.4.26.3,45° 47′ S
N3.2.1.4.4.27.4,45° 54′ S,193° 17′ W
N3.2.1.4.4.28.3,45° 13′ S
N3.2.1.4.4.28.5,45° 16′ S
N3.2.1.4.4.29.7,44° 47′
N3.2.1.4.4.30.5,44° 5′,2° 8′ E
N3.2.1.4.4.32.3,43° 4′ S,4° 12′ E
N3.2.1.4.4.32.7,42° 8′,5° 5′ E
N3.2.1.4.4.33.5,42° 23′,3° 55′ E
N3.2.1.4.4.33.9,41° 37′,5° 42′ E
N3.2.1.4.4.34.3,40° 55′ S,6° 35′ E
N3.2.1.4.4.34.9,40° 36′ 30″ S.,6° 52′ E
N3.2.1.4.4.34.15,40° 55′ S,6° 35′ E
N3.2.1.4.4.35.7,44° 20′
N3.2.1.4.4.35.9,44° 20′
N3.2.1.4.4.35.11,42° 8′
N3.2.1.4.4.35.15,42° 8′
N3.2.1.4.4.35.17,41° 30′
N3.2.1.4.4.36.3,40° 19′
N3.2.1.4.4.36.7,40° 33′ S
N3.2.1.4.4.43.3,40° 37′ S,185° 6′ W
N3.2.1.4.6.4.5,34° to 43
N3.2.1.4.6.5.3,34°,181°
N3.2.1.4.6.5.5,48° S,181°
N3.2.1.4.6.6.3,36° 15′
N3.2.1.4.6.6.5,36° 15′
N3.2.1.4.6.6.9,43°
N3.2.1.4.6.6.11,43°
N3.2.1.4.6.6.13,44° 20′
N3.2.1.4.6.6.15,44° 20′
N3.2.1.4.10.30.3,40°,110°
N3.2.1.4.10.30.7,40°,110°
N3.2.1.4.10.30.13,30°,21°
N3.2.1.4.10.30.21,40° s
N3.2.1.4.10.31.7,26° S,146° W
N3.2.1.4.10.32.7,35° S,123° W
N3.2.1.4.10.32.12,34° S,11° 3′ E
N3.2.1.4.10.32.14,35° S,123° W
N3.2.1.4.10.33.3,40° S
N3.2.1.4.10.33.5,40°,110°
N3.2.1.4.10.33.7,40°,110°
N3.2.1.4.10.35.3,15°.26′ S
N3.2.1.4.10.36.3,34°.00′.S
N3.2.1.5.4.4.3,40° 33′ S,186° W
N3.2.1.5.4.4.11,40°,110°
N3.2.1.5.4.5.5,38° 2′S
N3.2.1.5.4.6.5,38° 51′ S,202° 43′ W
N3.2.1.5.4.7.6,13° 48′
N3.2.1.5.4.8.5,39° 33′ S,204° 2′W
N3.2.1.5.4.8.19,39° 45′ S,208° W
N3.2.1.5.4.8.25,39° 36′ S
N3.2.1.5.4.10.3,37° 58′ S,210° 39′ W
N3.2.1.5.4.10.7,38°,211° 7′
N3.2.1.5.4.11.3,37° 50′,210° 29′W
N3.2.1.5.4.13.3,36° 51′ S,209° 53′ W
N3.2.1.5.4.14.3,36° 18′ S,209° 55′ W
