N1.2.6.6.2,-5.9845,37.3891
N1.2.8.6.2,-68,-52
N1.2.10.6.2,-146,120
N1.2.12.6.2,-161,10
N1.2.14.6.2,154,10
N1.2.16.6.2,16780
N1.2.18.6.2,-176,5.25
N1.2.20.6.2,-161,0.45
N1.2.22.6.2,163.5,-60
N1.2.24.6.2,169.666,-8.5
N1.2.26.6.2,174.5-10,0
N1.2.28.6.2,102-1.5,0
N1.2.30.6.2,-23.70345,15.183
N1.2.32.6.2,18.4740,-34
N1.2.34.4.2,-5.9845,37.3891
